Geography,AgeGroup,Count,Percent
Midlothian,Ages75to84,14018.0,6.658749762492874
Midlothian,Ages85plus,4212.0,2.000760022800684
Moray,Ages0to4,8092.0,4.195876716306467
Moray,Ages15to24,19610.0,10.168208404197951
Moray,Ages25to44,44088.0,22.860579914547642
Moray,Ages45to64,54874.0,28.453353797652138
Moray,Ages5to14,20762.0,10.765545277305346
Moray,Ages65to74,24212.0,12.554444767080101
Moray,Ages75to84,15804.0,8.19471522794209
Moray,Ages85plus,5414.0,2.8072758949682663
North Ayrshire,Ages0to4,11086.0,3.80873198015584
North Ayrshire,Ages15to24,30714.0,10.552173375293746
North Ayrshire,Ages25to44,68624.0,23.57662127063092
North Ayrshire,Ages45to64,82856.0,28.466200338065335
North Ayrshire,Ages5to14,29212.0,10.036142757018979
North Ayrshire,Ages65to74,37190.0,12.777083018401198
North Ayrshire,Ages75to84,24202.0,8.314895488339495
North Ayrshire,Ages85plus,7184.0,2.4681517720944934
North Lanarkshire,Ages0to4,31866.0,4.451640482463615
North Lanarkshire,Ages15to24,81252.0,11.35080312813449
North Lanarkshire,Ages25to44,193742.0,27.065515921466947
North Lanarkshire,Ages45to64,201518.0,28.151813429520583
North Lanarkshire,Ages5to14,79616.0,11.12225596723226
North Lanarkshire,Ages65to74,72572.0,10.138217946819479
North Lanarkshire,Ages75to84,42416.0,5.925462333025065
North Lanarkshire,Ages85plus,12844.0,1.7942907913375599
Orkney Islands,Ages0to4,1770.0,3.9675423652828834
Orkney Islands,Ages15to24,3948.0,8.849636869003856
Orkney Islands,Ages25to44,10064.0,22.558952748139514
Orkney Islands,Ages45to64,12986.0,29.10875997489465
Orkney Islands,Ages5to14,4516.0,10.122836904868645
Orkney Islands,Ages65to74,5840.0,13.0906482560746
Orkney Islands,Ages75to84,4112.0,9.217250963866224
Orkney Islands,Ages85plus,1376.0,3.0843719178696314
Perth and Kinross,Ages0to4,11834.0,3.794846141019228
Perth and Kinross,Ages15to24,32440.0,10.402637216043919
Perth and Kinross,Ages25to44,75924.0,24.34678877900489
Perth and Kinross,Ages45to64,85278.0,27.346365490437524
Perth and Kinross,Ages5to14,31128.0,9.981914033940047
Perth and Kinross,Ages65to74,38798.0,12.441477148830826
Perth and Kinross,Ages75to84,26462.0,8.485653082951734
Perth and Kinross,Ages85plus,9980.0,3.2003181077718343
Renfrewshire,Ages0to4,16926.0,4.375882234321436
Renfrewshire,Ages15to24,40770.0,10.540276420494205
Renfrewshire,Ages25to44,113330.0,29.299228028810603
Renfrewshire,Ages45to64,104282.0,26.960046742260896
Renfrewshire,Ages5to14,39434.0,10.194880067838326
Renfrewshire,Ages65to74,39328.0,10.167475866205448
Renfrewshire,Ages75to84,24376.0,6.3019322547453225
Renfrewshire,Ages85plus,8356.0,2.1602783853237573
Scottish Borders,Ages0to4,8582.0,3.5253039763391394
Scottish Borders,Ages15to24,23884.0,9.811041735129807
Scottish Borders,Ages25to44,53034.0,21.78524482418666
Scottish Borders,Ages45to64,69808.0,28.675649030561946
Scottish Borders,Ages5to14,23788.0,9.77160696680907
Scottish Borders,Ages65to74,33304.0,13.680578376602037
Scottish Borders,Ages75to84,23130.0,9.501314492277357
Scottish Borders,Ages85plus,7910.0,3.2492605980939864
Shetland Islands,Ages0to4,1900.0,4.144128424358751
Shetland Islands,Ages15to24,4556.0,9.937183737567615
Shetland Islands,Ages25to44,10898.0,23.769848194032456
Shetland Islands,Ages45to64,12890.0,28.114639678939103
Shetland Islands,Ages5to14,5308.0,11.577386145524342
Shetland Islands,Ages65to74,5332.0,11.629733030884662
Shetland Islands,Ages75to84,3792.0,8.270807886930728
Shetland Islands,Ages85plus,1172.0,2.556272901762345
South Ayrshire,Ages0to4,8106.0,3.397232257361508
South Ayrshire,Ages15to24,23592.0,9.887429486266063
South Ayrshire,Ages25to44,54860.0,22.991877823692615
South Ayrshire,Ages45to64,67312.0,28.21052278651836
South Ayrshire,Ages5to14,23102.0,9.682070023385833
South Ayrshire,Ages65to74,32492.0,13.617427893682471
South Ayrshire,Ages75to84,21714.0,9.100357912206734
South Ayrshire,Ages85plus,7428.0,3.113081816886415
South Lanarkshire,Ages0to4,31926.0,4.522019455759959
