PracticeCode,Sex,AgeGroup,Count
18339,Female,Ages0to4,83.0
18339,All,Ages0to4,149.0
18343,Male,Ages0to4,51.0
18343,Female,Ages0to4,44.0
18343,All,Ages0to4,95.0
18377,Male,Ages0to4,98.0
18377,Female,Ages0to4,95.0
18377,All,Ages0to4,193.0
18409,Male,Ages0to4,136.0
18409,Female,Ages0to4,136.0
18409,All,Ages0to4,272.0
18413,Male,Ages0to4,144.0
18413,Female,Ages0to4,129.0
18413,All,Ages0to4,273.0
18428,Male,Ages0to4,94.0
18428,Female,Ages0to4,108.0
18428,All,Ages0to4,202.0
18432,Male,Ages0to4,36.0
18432,Female,Ages0to4,30.0
18432,All,Ages0to4,66.0
18447,Male,Ages0to4,33.0
18447,Female,Ages0to4,41.0
18447,All,Ages0to4,74.0
18451,Male,Ages0to4,60.0
18451,Female,Ages0to4,50.0
18451,All,Ages0to4,110.0
18560,Male,Ages0to4,222.0
18560,Female,Ages0to4,235.0
18560,All,Ages0to4,457.0
18574,Male,Ages0to4,57.0
18574,Female,Ages0to4,45.0
18574,All,Ages0to4,102.0
18589,Male,Ages0to4,46.0
18589,Female,Ages0to4,54.0
18589,All,Ages0to4,100.0
18593,Male,Ages0to4,92.0
18593,Female,Ages0to4,72.0
18593,All,Ages0to4,164.0
18611,Male,Ages0to4,46.0
18611,Female,Ages0to4,54.0
18611,All,Ages0to4,100.0
18625,Male,Ages0to4,69.0
18625,Female,Ages0to4,77.0
18625,All,Ages0to4,146.0
18630,Male,Ages0to4,105.0
18630,Female,Ages0to4,117.0
18630,All,Ages0to4,222.0
18644,Male,Ages0to4,83.0
18644,Female,Ages0to4,83.0
18644,All,Ages0to4,166.0
18659,Male,Ages0to4,74.0
18659,Female,Ages0to4,62.0
18659,All,Ages0to4,136.0
20004,Male,Ages0to4,86.0
20004,Female,Ages0to4,89.0
20004,All,Ages0to4,175.0
20057,Male,Ages0to4,91.0
20057,Female,Ages0to4,101.0
20057,All,Ages0to4,192.0
20108,Male,Ages0to4,230.0
20108,Female,Ages0to4,202.0
20108,All,Ages0to4,432.0
20151,Male,Ages0to4,103.0
20151,Female,Ages0to4,91.0
20151,All,Ages0to4,194.0
20184,Male,Ages0to4,39.0
20184,Female,Ages0to4,47.0
20184,All,Ages0to4,86.0
20254,Male,Ages0to4,64.0
20254,Female,Ages0to4,63.0
20254,All,Ages0to4,127.0
20305,Male,Ages0to4,242.0
20305,Female,Ages0to4,249.0
20305,All,Ages0to4,491.0
20358,Male,Ages0to4,93.0
20358,Female,Ages0to4,78.0
20358,All,Ages0to4,171.0
20409,Male,Ages0to4,117.0
20409,Female,Ages0to4,103.0
20409,All,Ages0to4,220.0
20413,Male,Ages0to4,139.0
20413,Female,Ages0to4,139.0
20413,All,Ages0to4,278.0
20451,Male,Ages0to4,271.0
20451,Female,Ages0to4,255.0
20451,All,Ages0to4,526.0
20466,Male,Ages0to4,256.0
20466,Female,Ages0to4,240.0
20466,All,Ages0to4,496.0
20471,Male,Ages0to4,172.0
20471,Female,Ages0to4,174.0
20471,All,Ages0to4,346.0
20485,Male,Ages0to4,199.0
20485,Female,Ages0to4,171.0
20485,All,Ages0to4,370.0
20490,Male,Ages0to4,212.0
20490,Female,Ages0to4,241.0
20490,All,Ages0to4,453.0
20502,Male,Ages0to4,221.0
20502,Female,Ages0to4,202.0
20502,All,Ages0to4,423.0
20606,Male,Ages0to4,265.0
20606,Female,Ages0to4,204.0
20606,All,Ages0to4,469.0
20611,Male,Ages0to4,181.0
20611,Female,Ages0to4,164.0
20611,All,Ages0to4,345.0
20630,Male,Ages0to4,135.0
20630,Female,Ages0to4,143.0
20630,All,Ages0to4,278.0
20659,Male,Ages0to4,165.0
20659,Female,Ages0to4,177.0
20659,All,Ages0to4,342.0
20663,Male,Ages0to4,161.0
20663,Female,Ages0to4,158.0
20663,All,Ages0to4,319.0
20729,Male,Ages0to4,78.0
20729,Female,Ages0to4,75.0
20729,All,Ages0to4,153.0
20752,Male,Ages0to4,325.0
20752,Female,Ages0to4,305.0
20752,All,Ages0to4,630.0
20803,Male,Ages0to4,167.0
20803,Female,Ages0to4,141.0
20803,All,Ages0to4,308.0
20856,Male,Ages0to4,95.0
20856,Female,Ages0to4,98.0
20856,All,Ages0to4,193.0
20907,Male,Ages0to4,52.0
20907,Female,Ages0to4,56.0
20907,All,Ages0to4,108.0
20964,Male,Ages0to4,136.0
20964,Female,Ages0to4,129.0
20964,All,Ages0to4,265.0
20979,Male,Ages0to4,241.0
20979,Female,Ages0to4,208.0
20979,All,Ages0to4,449.0
20983,Male,Ages0to4,192.0
20983,Female,Ages0to4,153.0
20983,All,Ages0to4,345.0
20998,Male,Ages0to4,322.0
20998,Female,Ages0to4,351.0
20998,All,Ages0to4,673.0
21007,Male,Ages0to4,199.0
21007,Female,Ages0to4,210.0
21007,All,Ages0to4,409.0
21011,Male,Ages0to4,159.0
21011,Female,Ages0to4,158.0
21011,All,Ages0to4,317.0
21101,Male,Ages0to4,91.0
21101,Female,Ages0to4,64.0
21101,All,Ages0to4,155.0
21153,Male,Ages0to4,146.0
21153,Female,Ages0to4,138.0
21153,All,Ages0to4,284.0
21204,Male,Ages0to4,114.0
21204,Female,Ages0to4,106.0
21204,All,Ages0to4,220.0
21261,Male,Ages0to4,255.0
21261,Female,Ages0to4,219.0
21261,All,Ages0to4,474.0
21308,Male,Ages0to4,33.0
21308,Female,Ages0to4,46.0
21308,All,Ages0to4,79.0
21384,Male,Ages0to4,127.0
21384,Female,Ages0to4,107.0
21384,All,Ages0to4,234.0
21421,Male,Ages0to4,153.0
21421,Female,Ages0to4,112.0
21421,All,Ages0to4,265.0
21440,Male,Ages0to4,41.0
21440,Female,Ages0to4,42.0
21440,All,Ages0to4,83.0
21454,Male,Ages0to4,133.0
21454,Female,Ages0to4,110.0
21454,All,Ages0to4,243.0
21469,Male,Ages0to4,96.0
21469,Female,Ages0to4,73.0
21469,All,Ages0to4,169.0
21505,Male,Ages0to4,51.0
21505,Female,Ages0to4,56.0
21505,All,Ages0to4,107.0
21524,Male,Ages0to4,249.0
21524,Female,Ages0to4,230.0
21524,All,Ages0to4,479.0
21558,Male,Ages0to4,79.0
21558,Female,Ages0to4,63.0
21558,All,Ages0to4,142.0
21609,Male,Ages0to4,166.0
21609,Female,Ages0to4,142.0
21609,All,Ages0to4,308.0
21613,Male,Ages0to4,202.0
21613,Female,Ages0to4,199.0
21613,All,Ages0to4,401.0
21736,Male,Ages0to4,65.0
21736,Female,Ages0to4,89.0
21736,All,Ages0to4,154.0
21755,Male,Ages0to4,222.0
21755,Female,Ages0to4,253.0
21755,All,Ages0to4,475.0
21760,Male,Ages0to4,109.0
21760,Female,Ages0to4,114.0
21760,All,Ages0to4,223.0
21825,Male,Ages0to4,77.0
21825,Female,Ages0to4,83.0
21825,All,Ages0to4,160.0
21830,Male,Ages0to4,134.0
21830,Female,Ages0to4,113.0
21830,All,Ages0to4,247.0
25027,Male,Ages0to4,233.0
25027,Female,Ages0to4,223.0
25027,All,Ages0to4,456.0
25031,Male,Ages0to4,139.0
25031,Female,Ages0to4,126.0
25031,All,Ages0to4,265.0
25046,Male,Ages0to4,277.0
25046,Female,Ages0to4,277.0
25046,All,Ages0to4,554.0
25051,Male,Ages0to4,65.0
25051,Female,Ages0to4,37.0
25051,All,Ages0to4,102.0
25065,Male,Ages0to4,50.0
25065,Female,Ages0to4,38.0
25065,All,Ages0to4,88.0
25084,Male,Ages0to4,201.0
25084,Female,Ages0to4,170.0
25084,All,Ages0to4,371.0
25101,Male,Ages0to4,113.0
25101,Female,Ages0to4,98.0
25101,All,Ages0to4,211.0
25121,Male,Ages0to4,63.0
25121,Female,Ages0to4,65.0
25121,All,Ages0to4,128.0
25135,Male,Ages0to4,107.0
25135,Female,Ages0to4,129.0
25135,All,Ages0to4,236.0
25169,Male,Ages0to4,177.0
25169,Female,Ages0to4,153.0
25169,All,Ages0to4,330.0
25173,Male,Ages0to4,99.0
25173,Female,Ages0to4,105.0
25173,All,Ages0to4,204.0
25188,Male,Ages0to4,300.0
25188,Female,Ages0to4,216.0
25188,All,Ages0to4,516.0
25192,Male,Ages0to4,95.0
25192,Female,Ages0to4,95.0
25192,All,Ages0to4,190.0
25205,Male,Ages0to4,171.0
25205,Female,Ages0to4,139.0
25205,All,Ages0to4,310.0
25210,Male,Ages0to4,71.0
25210,Female,Ages0to4,85.0
25210,All,Ages0to4,156.0
25224,Male,Ages0to4,84.0
25224,Female,Ages0to4,85.0
25224,All,Ages0to4,169.0
25243,Male,Ages0to4,156.0
25243,Female,Ages0to4,160.0
25243,All,Ages0to4,316.0
25262,Male,Ages0to4,170.0
25262,Female,Ages0to4,181.0
25262,All,Ages0to4,351.0
25277,Male,Ages0to4,55.0
25277,Female,Ages0to4,50.0
25277,All,Ages0to4,105.0
25281,Male,Ages0to4,170.0
25281,Female,Ages0to4,162.0
25281,All,Ages0to4,332.0
25309,Male,Ages0to4,101.0
25309,Female,Ages0to4,106.0
25309,All,Ages0to4,207.0
25313,Male,Ages0to4,126.0
25313,Female,Ages0to4,114.0
25313,All,Ages0to4,240.0
25332,Male,Ages0to4,130.0
25332,Female,Ages0to4,108.0
25332,All,Ages0to4,238.0
25347,Male,Ages0to4,66.0
25347,Female,Ages0to4,80.0
25347,All,Ages0to4,146.0
25351,Male,Ages0to4,28.0
25351,Female,Ages0to4,24.0
25351,All,Ages0to4,52.0
25366,Male,Ages0to4,53.0
25366,Female,Ages0to4,56.0
25366,All,Ages0to4,109.0
25390,Male,Ages0to4,146.0
25390,Female,Ages0to4,121.0
25390,All,Ages0to4,267.0
25402,Male,Ages0to4,146.0
25402,Female,Ages0to4,147.0
25402,All,Ages0to4,293.0
25441,Male,Ages0to4,239.0
25441,Female,Ages0to4,228.0
25441,All,Ages0to4,467.0
25455,Male,Ages0to4,156.0
25455,Female,Ages0to4,164.0
25455,All,Ages0to4,320.0
25460,Male,Ages0to4,264.0
25460,Female,Ages0to4,269.0
25460,All,Ages0to4,533.0
25474,Male,Ages0to4,52.0
25474,Female,Ages0to4,47.0
25474,All,Ages0to4,99.0
25506,Male,Ages0to4,154.0
25506,Female,Ages0to4,139.0
25506,All,Ages0to4,293.0
25525,Male,Ages0to4,95.0
25525,Female,Ages0to4,59.0
25525,All,Ages0to4,154.0
25544,Male,Ages0to4,203.0
25544,Female,Ages0to4,156.0
25544,All,Ages0to4,359.0
25559,Male,Ages0to4,67.0
25559,Female,Ages0to4,52.0
25559,All,Ages0to4,119.0
25582,Male,Ages0to4,134.0
25582,Female,Ages0to4,145.0
25582,All,Ages0to4,279.0
25597,Male,Ages0to4,66.0
25597,Female,Ages0to4,73.0
25597,All,Ages0to4,139.0
25648,Male,Ages0to4,116.0
25648,Female,Ages0to4,126.0
25648,All,Ages0to4,242.0
25652,Male,Ages0to4,111.0
25652,Female,Ages0to4,103.0
25652,All,Ages0to4,214.0
25671,Male,Ages0to4,157.0
25671,Female,Ages0to4,142.0
25671,All,Ages0to4,299.0
25686,Male,Ages0to4,95.0
25686,Female,Ages0to4,77.0
25686,All,Ages0to4,172.0
25737,Male,Ages0to4,249.0
25737,Female,Ages0to4,242.0
25737,All,Ages0to4,491.0
25826,Male,Ages0to4,
25826,Female,Ages0to4,
25826,All,Ages0to4,
25898,Male,Ages0to4,30.0
25898,Female,Ages0to4,26.0
25898,All,Ages0to4,56.0
25968,Male,Ages0to4,21.0
25968,Female,Ages0to4,32.0
25968,All,Ages0to4,53.0
25991,Male,Ages0to4,90.0
25991,Female,Ages0to4,89.0
25991,All,Ages0to4,179.0
26015,Male,Ages0to4,714.0
26015,Female,Ages0to4,726.0
26015,All,Ages0to4,1440.0
26208,Male,Ages0to4,178.0
26208,Female,Ages0to4,165.0
26208,All,Ages0to4,343.0
30030,Male,Ages0to4,150.0
30030,Female,Ages0to4,152.0
30030,All,Ages0to4,302.0
30059,Male,Ages0to4,173.0
30059,Female,Ages0to4,169.0
30059,All,Ages0to4,342.0
30078,Male,Ages0to4,325.0
30078,Female,Ages0to4,327.0
30078,All,Ages0to4,652.0
30097,Male,Ages0to4,246.0
30097,Female,Ages0to4,203.0
30097,All,Ages0to4,449.0
30203,Male,Ages0to4,220.0
30203,Female,Ages0to4,225.0
30203,All,Ages0to4,445.0
30218,Male,Ages0to4,150.0
30218,Female,Ages0to4,170.0
30218,All,Ages0to4,320.0
30256,Male,Ages0to4,277.0
30256,Female,Ages0to4,231.0
30256,All,Ages0to4,508.0
30261,Male,Ages0to4,153.0
30261,Female,Ages0to4,145.0
30261,All,Ages0to4,298.0
30280,Male,Ages0to4,209.0
30280,Female,Ages0to4,217.0
30280,All,Ages0to4,426.0
30311,Male,Ages0to4,158.0
30311,Female,Ages0to4,159.0
30311,All,Ages0to4,317.0
30326,Male,Ages0to4,169.0
30326,Female,Ages0to4,181.0
30326,All,Ages0to4,350.0
30401,Male,Ages0to4,413.0
30401,Female,Ages0to4,370.0
30401,All,Ages0to4,783.0
30504,Male,Ages0to4,367.0
30504,Female,Ages0to4,337.0
30504,All,Ages0to4,704.0
30561,Male,Ages0to4,
30561,Female,Ages0to4,
30561,All,Ages0to4,
30627,Male,Ages0to4,145.0
30627,Female,Ages0to4,135.0
30627,All,Ages0to4,280.0
30701,Male,Ages0to4,194.0
30701,Female,Ages0to4,190.0
30701,All,Ages0to4,384.0
30909,Male,Ages0to4,226.0
30909,Female,Ages0to4,236.0
30909,All,Ages0to4,462.0
30928,Male,Ages0to4,379.0
30928,Female,Ages0to4,366.0
30928,All,Ages0to4,745.0
30951,Male,Ages0to4,139.0
30951,Female,Ages0to4,117.0
30951,All,Ages0to4,256.0
31009,Male,Ages0to4,231.0
31009,Female,Ages0to4,202.0
31009,All,Ages0to4,433.0
31141,Male,Ages0to4,350.0
31141,Female,Ages0to4,350.0
31141,All,Ages0to4,700.0
31206,Male,Ages0to4,266.0
31206,Female,Ages0to4,295.0
31206,All,Ages0to4,561.0
31211,Male,Ages0to4,221.0
31211,Female,Ages0to4,216.0
31211,All,Ages0to4,437.0
31230,Male,Ages0to4,227.0
31230,Female,Ages0to4,209.0
31230,All,Ages0to4,436.0
31244,Male,Ages0to4,134.0
31244,Female,Ages0to4,127.0
31244,All,Ages0to4,261.0
31259,Male,Ages0to4,172.0
31259,Female,Ages0to4,158.0
31259,All,Ages0to4,330.0
31348,Male,Ages0to4,33.0
31348,Female,Ages0to4,28.0
31348,All,Ages0to4,61.0
31437,Male,Ages0to4,221.0
31437,Female,Ages0to4,215.0
31437,All,Ages0to4,436.0
31475,Male,Ages0to4,70.0
31475,Female,Ages0to4,88.0
31475,All,Ages0to4,158.0
31511,Male,Ages0to4,230.0
31511,Female,Ages0to4,180.0
31511,All,Ages0to4,410.0
31598,Male,Ages0to4,173.0
31598,Female,Ages0to4,176.0
31598,All,Ages0to4,349.0
31601,Male,Ages0to4,67.0
31601,Female,Ages0to4,72.0
31601,All,Ages0to4,139.0
31615,Male,Ages0to4,79.0
31615,Female,Ages0to4,56.0
31615,All,Ages0to4,135.0
31634,Male,Ages0to4,554.0
31634,Female,Ages0to4,529.0
31634,All,Ages0to4,1083.0
31672,Male,Ages0to4,141.0
31672,Female,Ages0to4,125.0
31672,All,Ages0to4,266.0
31691,Male,Ages0to4,172.0
31691,Female,Ages0to4,204.0
31691,All,Ages0to4,376.0
31723,Male,Ages0to4,188.0
31723,Female,Ages0to4,159.0
31723,All,Ages0to4,347.0
31812,Male,Ages0to4,7.0
31812,Female,Ages0to4,12.0
31812,All,Ages0to4,19.0
31899,Male,Ages0to4,121.0
31899,Female,Ages0to4,106.0
31899,All,Ages0to4,227.0
31901,Male,Ages0to4,354.0
31901,Female,Ages0to4,305.0
31901,All,Ages0to4,659.0
31916,Male,Ages0to4,149.0
31916,Female,Ages0to4,148.0
31916,All,Ages0to4,297.0
32001,Male,Ages0to4,146.0
32001,Female,Ages0to4,131.0
32001,All,Ages0to4,277.0
32021,Male,Ages0to4,589.0
32021,Female,Ages0to4,561.0
32021,All,Ages0to4,1150.0
32035,Male,Ages0to4,147.0
32035,Female,Ages0to4,135.0
32035,All,Ages0to4,282.0
32092,Male,Ages0to4,151.0
32092,Female,Ages0to4,140.0
32092,All,Ages0to4,291.0
32209,Male,Ages0to4,289.0
32209,Female,Ages0to4,295.0
32209,All,Ages0to4,584.0
32290,Male,Ages0to4,107.0
32290,Female,Ages0to4,102.0
32290,All,Ages0to4,209.0
32317,Male,Ages0to4,27.0
32317,Female,Ages0to4,26.0
32317,All,Ages0to4,53.0
32355,Male,Ages0to4,27.0
32355,Female,Ages0to4,50.0
32355,All,Ages0to4,77.0
32393,Male,Ages0to4,10.0
32393,Female,Ages0to4,6.0
32393,All,Ages0to4,16.0
32406,Male,Ages0to4,278.0
32406,Female,Ages0to4,256.0
32406,All,Ages0to4,534.0
32411,Male,Ages0to4,394.0
32411,Female,Ages0to4,359.0
32411,All,Ages0to4,753.0
32425,Male,Ages0to4,234.0
32425,Female,Ages0to4,205.0
32425,All,Ages0to4,439.0
32500,Male,Ages0to4,39.0
32500,Female,Ages0to4,37.0
32500,All,Ages0to4,76.0
32514,Male,Ages0to4,104.0
32514,Female,Ages0to4,113.0
32514,All,Ages0to4,217.0
32529,Male,Ages0to4,143.0
32529,Female,Ages0to4,153.0
32529,All,Ages0to4,296.0
32586,Male,Ages0to4,141.0
32586,Female,Ages0to4,141.0
32586,All,Ages0to4,282.0
32622,Male,Ages0to4,183.0
32622,Female,Ages0to4,170.0
32622,All,Ages0to4,353.0
32707,Male,Ages0to4,328.0
32707,Female,Ages0to4,284.0
32707,All,Ages0to4,612.0
32750,Male,Ages0to4,93.0
32750,Female,Ages0to4,83.0
32750,All,Ages0to4,176.0
32764,Male,Ages0to4,233.0
32764,Female,Ages0to4,214.0
32764,All,Ages0to4,447.0
32779,Male,Ages0to4,479.0
32779,Female,Ages0to4,477.0
32779,All,Ages0to4,956.0
32801,Male,Ages0to4,165.0
32801,Female,Ages0to4,163.0
32801,All,Ages0to4,328.0
32815,Male,Ages0to4,179.0
32815,Female,Ages0to4,189.0
32815,All,Ages0to4,368.0
32904,Male,Ages0to4,159.0
32904,Female,Ages0to4,146.0
32904,All,Ages0to4,305.0
